profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1566610,20.124432975002527,-90.05803109272802,134,162,????-??-??,,,,,,,64.0,,,1.0,,,6.8,,,,,,26.0,10.0,,,,,,
1566612,20.215112547395613,-90.42695785880913,0,11,2004-5-6,,,,,,,,,,0.0,,106.0,7.6,,,,,,,,,,,,,
1566612,20.215112547395613,-90.42695785880913,11,19,2004-5-6,,,,,,,27.0,,,0.0,,17.0,8.2,,,,,,40.0,33.0,,,,,,
1566612,20.215112547395613,-90.42695785880913,19,27,2004-5-6,,,,,,,20.0,,,0.0,,8.0,8.2,,,,,,55.0,25.0,,,,,,
1566612,20.215112547395613,-90.42695785880913,27,43,2004-5-6,,,,,,,20.0,,,3.8,,6.0,8.1,,,,,,64.0,16.0,,,,,,
1566612,20.215112547395613,-90.42695785880913,43,69,2004-5-6,,,,,,,26.0,,,2.8,,5.0,8.0,,,,,,58.0,16.0,,,,,,
1566612,20.215112547395613,-90.42695785880913,69,74,2004-5-6,,,,,,,24.0,,,2.8,,3.0,8.1,,,,,,50.0,26.0,,,,,,
1566613,20.637533296935782,-90.24618226565417,0,9,1983-3-11,,,,,,,22.0,,,2.0,,52.0,7.9,,,,,,38.0,40.0,,,,,,
1566613,20.637533296935782,-90.24618226565417,9,19,1983-3-11,,,,,,,18.0,,,2.0,,22.0,7.9,,,,,,48.0,34.0,,,,,,
1566614,20.34637732809045,-90.19715261141354,0,19,1983-3-15,,,,,,,22.0,,,2.0,,71.0,7.7,,,,,,50.0,28.0,,,,,,
1566615,20.200115515863246,-90.40366636045317,0,8,1983-3-16,,,,,,,,,,10.0,,286.0,7.9,,,,,,,,,,,,,
1566615,20.200115515863246,-90.40366636045317,8,20,1983-3-16,,,,,,,,,,10.0,,286.0,7.9,,,,,,,,,,,,,
1566615,20.200115515863246,-90.40366636045317,20,125,1983-3-16,,,,,,,4.0,,,7.5,,5.0,8.2,,,,,,56.0,40.0,,,,,,
1566617,20.166920724781168,-88.58509314706363,0,10,????-??-??,,,,,,,38.0,,,1.0,,,7.8,,,,,,34.0,28.0,,,,,,
1566617,20.166920724781168,-88.58509314706363,10,29,????-??-??,,,,,,,36.0,,,1.0,,,7.8,,,,,,36.0,28.0,,,,,,
1566619,20.060290794481944,-89.47507861209212,0,15,2003-5-16,,,,,,,50.0,,,0.1,,28.0,7.3,,,,,,34.0,16.0,,,,,,
1566619,20.060290794481944,-89.47507861209212,15,45,2003-5-16,,,,,,,69.0,,,0.0,,9.0,7.2,,,,,,16.0,15.0,,,,,,
