profile_id,latitude,longitude,upper_depth,lower_depth,date,clay,orgc,phaq,phca,sand,geometry,bedrock
1249670,51.666666666666664,-0.8,8,16,1981-6-1,20.0,16.0,4.1,3.6,12.0,POINT (-0.7999999999999502 51.666666666666664),rocas_igneas
1249670,51.666666666666664,-0.8,16,38,1981-6-1,24.0,6.0,4.2,3.8,8.0,POINT (-0.7999999999999502 51.666666666666664),rocas_igneas
1249670,51.666666666666664,-0.8,38,62,1981-6-1,33.0,2.0,5.1,4.2,5.0,POINT (-0.7999999999999502 51.666666666666664),rocas_igneas
1249670,51.666666666666664,-0.8,62,84,1981-6-1,34.0,2.0,4.9,4.2,5.0,POINT (-0.7999999999999502 51.666666666666664),rocas_igneas
1249670,51.666666666666664,-0.8,84,180,1981-6-1,36.0,2.0,4.9,4.1,4.0,POINT (-0.7999999999999502 51.666666666666664),rocas_igneas
1249671,56.61666666666667,-2.6833333333333336,0,24,1991-9-1,2.0,30.8,6.3,5.9,73.0,POINT (-2.6833333333333362 56.616666666666674),rocas_igneas
1249671,56.61666666666667,-2.6833333333333336,24,60,1991-9-1,6.0,6.8,5.8,5.3,75.0,POINT (-2.6833333333333362 56.616666666666674),rocas_igneas
1249671,56.61666666666667,-2.6833333333333336,60,85,1991-9-1,10.0,6.4,5.3,4.7,71.0,POINT (-2.6833333333333362 56.616666666666674),rocas_igneas
1270628,51.733333333333334,0.4166666666666667,0,25,1981-6-1,15.0,19.0,5.8,5.5,17.0,POINT (0.4166666666667128 51.73333333333334),rocas_igneas
1270628,51.733333333333334,0.4166666666666667,25,46,1981-6-1,17.0,7.0,5.3,4.8,12.0,POINT (0.4166666666667128 51.73333333333334),rocas_igneas
1270628,51.733333333333334,0.4166666666666667,46,80,1981-6-1,24.0,5.0,6.0,5.7,7.0,POINT (0.4166666666667128 51.73333333333334),rocas_igneas
1270628,51.733333333333334,0.4166666666666667,80,93,1981-6-1,23.0,5.0,6.2,5.9,7.0,POINT (0.4166666666667128 51.73333333333334),rocas_igneas
1270628,51.733333333333334,0.4166666666666667,93,120,1981-6-1,21.0,2.0,6.5,5.9,14.0,POINT (0.4166666666667128 51.73333333333334),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,0,20,1981-6-1,33.0,22.0,5.7,5.2,9.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,20,38,1981-6-1,39.0,6.0,5.8,5.1,18.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,38,51,1981-6-1,56.0,6.0,5.2,4.6,8.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,51,85,1981-6-1,55.0,3.0,5.2,4.6,3.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,85,145,1981-6-1,50.0,2.0,6.4,6.0,4.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1270631,51.083333333333336,0.8333333333333334,145,200,1981-6-1,37.0,2.0,7.5,7.0,3.0,POINT (0.8333333333333748 51.08333333333335),rocas_igneas
1274598,53.11669921875,-1.0833300352096558,0,22,????-??-??,23.0,48.0,5.1,4.6,27.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1274598,53.11669921875,-1.0833300352096558,22,43,????-??-??,32.0,8.0,7.0,6.5,25.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1274598,53.11669921875,-1.0833300352096558,43,62,????-??-??,45.0,5.0,7.8,7.4,13.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1274598,53.11669921875,-1.0833300352096558,62,84,????-??-??,32.0,4.0,8.2,7.8,31.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1274598,53.11669921875,-1.0833300352096558,84,104,????-??-??,41.0,3.0,8.4,7.9,14.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1318995,52.083333333333336,0.3333333333333333,0,28,1981-6-1,38.0,18.0,7.9,7.4,27.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1318995,52.083333333333336,0.3333333333333333,28,48,1981-6-1,41.0,6.0,8.0,7.5,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1318995,52.083333333333336,0.3333333333333333,48,68,1981-6-1,39.0,5.0,8.1,7.5,16.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1318995,52.083333333333336,0.3333333333333333,68,80,1981-6-1,38.0,5.0,8.3,7.4,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1318995,52.083333333333336,0.3333333333333333,80,110,1981-6-1,38.0,4.0,8.0,7.4,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1318996,52.45,0.08333333333333333,0,29,1981-6-1,63.0,250.0,6.9,6.7,5.0,POINT (0.0833333333333578 52.45),rocas_igneas
1318996,52.45,0.08333333333333333,53,62,1981-6-1,3.0,260.0,3.9,3.8,68.0,POINT (0.0833333333333578 52.45),rocas_igneas
1318997,51.18333333333333,0.9333333333333333,0,13,1981-6-1,45.0,33.0,5.7,5.5,33.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1318997,51.18333333333333,0.9333333333333333,13,25,1981-6-1,45.0,26.0,5.7,5.4,33.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1318997,51.18333333333333,0.9333333333333333,25,40,1981-6-1,56.0,16.0,5.9,5.5,26.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1318997,51.18333333333333,0.9333333333333333,40,65,1981-6-1,69.0,8.0,7.5,7.0,21.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1318997,51.18333333333333,0.9333333333333333,65,135,1981-6-1,96.0,11.0,7.1,6.6,1.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1319047,51.833333333333336,-1.4166666666666667,0,3,1981-6-1,20.0,63.0,4.3,3.9,22.0,POINT (-1.4166666666666379 51.83333333333333),rocas_igneas
1319047,51.833333333333336,-1.4166666666666667,3,12,1981-6-1,20.0,36.0,3.9,3.4,20.0,POINT (-1.4166666666666379 51.83333333333333),rocas_igneas
1319047,51.833333333333336,-1.4166666666666667,44,58,1981-6-1,20.0,7.0,5.0,4.0,37.0,POINT (-1.4166666666666379 51.83333333333333),rocas_igneas
1319047,51.833333333333336,-1.4166666666666667,80,170,1981-6-1,49.0,4.0,4.6,3.7,28.0,POINT (-1.4166666666666379 51.83333333333333),rocas_igneas
1319048,53.18333333333333,-3.5833333333333335,0,22,1981-6-1,23.0,44.0,5.6,4.9,25.0,POINT (-3.5833333333332926 53.183333333333316),rocas_igneas
1319048,53.18333333333333,-3.5833333333333335,22,40,1981-6-1,25.0,24.0,5.0,4.3,24.0,POINT (-3.5833333333332926 53.183333333333316),rocas_igneas
1319048,53.18333333333333,-3.5833333333333335,40,70,1981-6-1,24.0,19.0,5.0,4.4,31.0,POINT (-3.5833333333332926 53.183333333333316),rocas_igneas
1319048,53.18333333333333,-3.5833333333333335,70,100,1981-6-1,13.0,5.0,5.1,4.6,62.0,POINT (-3.5833333333332926 53.183333333333316),rocas_igneas
1339997,52.083333333333336,0.3333333333333333,0,28,1981-6-1,38.0,18.0,7.9,7.4,27.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1339997,52.083333333333336,0.3333333333333333,28,48,1981-6-1,41.0,6.0,8.0,7.5,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1339997,52.083333333333336,0.3333333333333333,48,68,1981-6-1,39.0,5.0,8.1,7.5,16.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1339997,52.083333333333336,0.3333333333333333,68,80,1981-6-1,38.0,5.0,8.3,7.4,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1339997,52.083333333333336,0.3333333333333333,80,110,1981-6-1,38.0,4.0,8.0,7.4,15.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1340000,52.45,0.08333333333333333,0,29,1981-6-1,63.0,250.0,6.9,6.7,5.0,POINT (0.0833333333333578 52.45),rocas_igneas
1340000,52.45,0.08333333333333333,53,62,1981-6-1,3.0,260.0,3.9,3.8,68.0,POINT (0.0833333333333578 52.45),rocas_igneas
1340001,51.18333333333333,0.9333333333333333,0,13,1981-6-1,45.0,33.0,5.7,5.5,33.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1340001,51.18333333333333,0.9333333333333333,13,25,1981-6-1,45.0,26.0,5.7,5.4,33.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1340001,51.18333333333333,0.9333333333333333,25,40,1981-6-1,56.0,16.0,5.9,5.5,26.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1340001,51.18333333333333,0.9333333333333333,40,65,1981-6-1,69.0,8.0,7.5,7.0,21.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1340001,51.18333333333333,0.9333333333333333,65,135,1981-6-1,96.0,11.0,7.1,6.6,1.0,POINT (0.9333333333333813 51.18333333333333),rocas_igneas
1343869,52.16669845581055,-0.5833330154418945,0,13,????-??-??,31.0,64.0,5.7,5.4,36.0,POINT (-0.583333015441848 52.16669845581055),rocas_igneas
1343869,52.16669845581055,-0.5833330154418945,13,41,????-??-??,29.0,35.0,5.1,4.7,39.0,POINT (-0.583333015441848 52.16669845581055),rocas_igneas
1343869,52.16669845581055,-0.5833330154418945,41,67,????-??-??,21.0,9.0,5.8,5.4,58.0,POINT (-0.583333015441848 52.16669845581055),rocas_igneas
1343869,52.16669845581055,-0.5833330154418945,67,105,????-??-??,10.0,1.0,5.8,5.4,71.0,POINT (-0.583333015441848 52.16669845581055),rocas_igneas
1353767,51.75,-0.8333333333333334,0,8,1964-6-1,16.0,53.0,4.6,4.0,14.0,POINT (-0.8333333333332857 51.75000000000001),rocas_igneas
1353767,51.75,-0.8333333333333334,8,28,1964-6-1,13.0,16.0,4.5,3.8,13.0,POINT (-0.8333333333332857 51.75000000000001),rocas_igneas
1353768,53.333333333333336,-1.2,0,26,1981-6-1,5.0,18.0,5.4,4.8,85.0,POINT (-1.1999999999999509 53.33333333333332),rocas_igneas
1353768,53.333333333333336,-1.2,26,52,1981-6-1,5.0,4.0,6.9,6.3,81.0,POINT (-1.1999999999999509 53.33333333333332),rocas_igneas
1353768,53.333333333333336,-1.2,52,80,1981-6-1,4.0,2.0,7.0,6.4,87.0,POINT (-1.1999999999999509 53.33333333333332),rocas_igneas
1353768,53.333333333333336,-1.2,80,100,1981-6-1,4.0,2.0,7.2,6.7,86.0,POINT (-1.1999999999999509 53.33333333333332),rocas_igneas
1353768,53.333333333333336,-1.2,100,150,1981-6-1,5.0,1.0,6.9,6.3,92.0,POINT (-1.1999999999999509 53.33333333333332),rocas_igneas
1353769,53.13333333333333,-3.6666666666666665,24,33,1981-6-1,23.0,50.0,3.9,3.4,5.0,POINT (-3.6666666666666505 53.13333333333331),rocas_igneas
1353769,53.13333333333333,-3.6666666666666665,33,34,1981-6-1,25.0,43.0,4.3,3.8,20.0,POINT (-3.6666666666666505 53.13333333333331),rocas_igneas
1353769,53.13333333333333,-3.6666666666666665,34,62,1981-6-1,23.0,12.0,4.3,3.8,11.0,POINT (-3.6666666666666505 53.13333333333331),rocas_igneas
1353769,53.13333333333333,-3.6666666666666665,62,80,1981-6-1,10.0,10.0,4.8,4.2,34.0,POINT (-3.6666666666666505 53.13333333333331),rocas_igneas
1353769,53.13333333333333,-3.6666666666666665,80,120,1981-6-1,9.0,5.0,5.3,4.7,18.0,POINT (-3.6666666666666505 53.13333333333331),rocas_igneas
1378607,52.58330154418945,0.33333298563957214,0,27,????-??-??,21.0,17.0,7.8,7.4,50.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
