profile_id,latitude,longitude,upper_depth,lower_depth,date,clay,orgc,phaq,phca,sand,geometry,bedrock
1482604,51.83330154418945,-0.5833330154418945,0,3,????-??-??,20.0,63.0,4.3,3.9,22.0,POINT (-0.583333015441848 51.83330154418945),rocas_igneas
1482604,51.83330154418945,-0.5833330154418945,3,12,????-??-??,20.0,36.0,3.9,3.4,20.0,POINT (-0.583333015441848 51.83330154418945),rocas_igneas
1482604,51.83330154418945,-0.5833330154418945,44,58,????-??-??,20.0,7.0,5.0,4.0,37.0,POINT (-0.583333015441848 51.83330154418945),rocas_igneas
1482604,51.83330154418945,-0.5833330154418945,80,170,????-??-??,49.0,4.0,4.6,3.7,28.0,POINT (-0.583333015441848 51.83330154418945),rocas_igneas
1482609,57.23889923095703,-2.3222200870513916,0,6,????-??-??,3.0,78.7,3.8,3.1,88.0,POINT (-2.3222200870513823 57.238899230957024),rocas_sedimentarias
1482609,57.23889923095703,-2.3222200870513916,6,56,????-??-??,2.0,20.2,4.7,4.9,95.0,POINT (-2.3222200870513823 57.238899230957024),rocas_sedimentarias
1482609,57.23889923095703,-2.3222200870513916,56,103,????-??-??,1.0,2.1,5.3,5.2,97.0,POINT (-2.3222200870513823 57.238899230957024),rocas_sedimentarias
1492462,57.13611111111111,-2.1527777777777777,0,28,1991-7-1,4.0,33.9,5.5,5.1,76.0,POINT (-2.152777777777798 57.13611111111112),rocas_sedimentarias
1492462,57.13611111111111,-2.1527777777777777,28,48,1991-7-1,12.0,3.8,5.1,5.2,71.0,POINT (-2.152777777777798 57.13611111111112),rocas_sedimentarias
1492462,57.13611111111111,-2.1527777777777777,48,80,1991-7-1,10.0,5.9,5.1,5.1,69.0,POINT (-2.152777777777798 57.13611111111112),rocas_sedimentarias
1492542,53.13333333333333,-3.5833333333333335,24,57,1981-6-1,25.0,36.0,4.4,3.9,8.0,POINT (-3.5833333333332926 53.13333333333331),rocas_igneas
1492542,53.13333333333333,-3.5833333333333335,57,70,1981-6-1,23.0,9.0,4.5,4.0,14.0,POINT (-3.5833333333332926 53.13333333333331),rocas_igneas
1492542,53.13333333333333,-3.5833333333333335,70,100,1981-6-1,22.0,3.0,4.9,4.0,27.0,POINT (-3.5833333333332926 53.13333333333331),rocas_igneas
