upper_depth,lower_depth,silt,clay,elcosp,phaq,sand,temperature,precipitation,landcover_2.0,landcover_4.0,landcover_5.0,landcover_6.0,landcover_7.0,landcover_8.0,landcover_9.0,landcover_10.0,landcover_11.0,landcover_12.0,landcover_13.0,landcover_14.0,landcover_16.0,landcover_17.0,zone_number_2,zone_number_3,zone_number_4,zone_number_5,zone_number_7
0.0,17.0,8.0,5.0,0.1,8.7,87.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17.0,28.0,2.0,3.0,0.2,8.6,95.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,10.0,5.0,0.1,8.0,85.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3.0,11.0,16.0,7.0,0.2,9.0,77.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11.0,27.0,16.0,7.0,0.4,9.7,77.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,20.0,24.0,33.0,0.1,6.7,43.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,6.0,10.0,3.0,0.0,7.1,87.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,12.0,10.0,3.0,0.1,8.6,87.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12.0,30.0,14.0,13.0,0.2,8.7,73.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,9.0,34.0,23.0,0.1,6.9,43.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,21.0,40.0,19.0,0.3,8.9,41.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,16.0,32.0,29.0,0.1,6.9,39.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,14.0,20.0,37.0,0.2,8.8,43.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,26.0,22.0,27.0,0.4,8.7,51.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,13.0,2.0,3.0,0.1,7.5,95.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,24.0,22.0,13.0,0.1,8.5,65.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,8.0,10.0,3.0,0.0,6.4,87.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,20.0,10.0,20.0,0.2,4.9,70.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,10.0,24.0,28.0,0.1,6.2,48.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,15.0,32.0,23.0,0.1,7.2,45.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,18.0,14.0,5.0,0.1,6.4,81.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,13.0,22.0,9.0,0.0,6.6,69.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,30.0,26.0,11.0,0.0,6.6,63.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,12.0,22.0,9.0,0.2,8.5,69.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,20.0,14.0,28.0,0.1,7.9,58.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,25.0,22.0,28.0,0.0,6.0,50.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,9.0,4.0,3.0,0.0,6.4,93.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,27.0,18.0,5.0,0.1,6.8,77.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,17.0,22.0,13.0,0.1,7.7,65.0,16.92475128,150.5167542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
