grid_id,geometry,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,latitude,longitude,organic_matter,bulk_density,silt_plus_clay,spatial_lag,moran_i,hotspot,coldspot,doughnut,diamond,target_binary,mean_dist_knn,knn_target_mean,dist_to_hotspot
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.28300094604492,-7.343999863,145.60149357774364,-7.11608961466462,0.0,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,12.451190948486328,60.18962860107422,9.0,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,0.0,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,4.944138050079346,99.03208923339844,10.439584877687176,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,3.7,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,12.812355995178224,102.37712097167967,14.0,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,0.0,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,5.239675045013428,45.94108200073242,10.439584877687176,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,2.4,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,36.9,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
21,"POLYGON ((-7.372167934591076 54.35999990498114, -7.272167934591069 54.35999990498115, -7.272167934591082 54.25999990498116, -7.372167934591038 54.25999990498115, -7.372167934591076 54.35999990498114))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,2.760136127471924,39.559364318847656,10.439584877687176,54.28499984741211,-7.346000195,145.60149357774364,-7.11608961466462,45.1,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,278448.0230267809
56,"POLYGON ((-7.072167934591056 54.559999904981154, -6.972167934591063 54.55999990498114, -6.972167934591037 54.45999990498114, -7.072167934591069 54.459999904981146, -7.072167934591056 54.559999904981154))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.50999832,-6.989999771,145.60149357774364,-7.11608961466462,1.8,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,272395.12844545284
56,"POLYGON ((-7.072167934591056 54.559999904981154, -6.972167934591063 54.55999990498114, -6.972167934591037 54.45999990498114, -7.072167934591069 54.459999904981146, -7.072167934591056 54.559999904981154))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,3.8998284339904794,88.53435516357422,10.439584877687176,54.50999832,-6.989999771,145.60149357774364,-7.11608961466462,24.6,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,272395.12844545284
56,"POLYGON ((-7.072167934591056 54.559999904981154, -6.972167934591063 54.55999990498114, -6.972167934591037 54.45999990498114, -7.072167934591069 54.459999904981146, -7.072167934591056 54.559999904981154))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.50999832,-6.989999771,145.60149357774364,-7.11608961466462,0.0,84.45562272490932,4.568170087406876e-08,0,0,0,0,0,0.0,84.4556227249093,272395.12844545284
