bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,soc_tha
rocas_igneas,4/8/2005,5,0.1,POINT (-114.41675 27.239948),17.0,27.239948,-114.41675,23,1.0,9.2,83.41119385,82.0,1.9983232617378235,REGOSOL EUTRICO,16.08542633,8,9.090710901989201,1.724,1.5165600000000001,18.0,15,2.068040872117189
rocas_igneas,7/1/2004,5,0.1,POINT (-112.001396 30.892708),7.0,30.892708,-112.001396,15,3.0,8.3,175.6390991,84.0,0.8138591194040464,XEROSOL CALCICO,16.9322319,0,12.73373020510925,5.172,1.3096800000000002,16.0,15,5.143089970123764
rocas_igneas,7/23/2004,5,0.1,POINT (-112.03252 28.891453),17.0,28.891453,-112.03252,20,2.0,8.6,165.5812531,86.0,1.8570497035980225,REGOSOL EUTRICO,16.67821503,0,21.993435925323066,3.448,1.4131200000000002,14.0,20,4.409305433008299
rocas_igneas,7/8/2003,4,0.3,POINT (-101.30628 21.076775),4.0,21.076775,-101.30628,12,20.0,4.8,145.8343353,86.0,4.990836906433105,FEOZEM HAPLICO,16.0439949,0,7.062277768246496,34.48,-0.4487999999999994,14.0,12,-10.01050793702662
rocas_igneas,9/2/2005,2,0.1,POINT (-109.888245 28.61562),10.0,28.61562,-109.888245,28,3.0,8.7,114.8077774,88.0,0.9008330830555789,REGOSOL EUTRICO,15.7622776,10,12.814179643026113,5.172,1.3096800000000002,12.0,18,6.166018361076565
rocas_igneas,5/13/2003,5,1.0,POINT (-108.48465 31.192173),10.0,31.192173,-108.48465,28,2.0,9.0,179.6077271,90.0,0.8742395609089758,REGOSOL EUTRICO,16.42349434,13,3.0298245322846515,3.448,1.4131200000000002,10.0,15,4.110914830708137
rocas_igneas,6/26/2005,2,0.0,POINT (-102.26341 17.955616),13.0,17.955616,-102.26341,20,2.0,6.0,214.8472137,83.0,0.21894683889362193,REGOSOL EUTRICO,16.5090847,0,0.0021377176330942514,3.448,1.4131200000000002,17.0,20,5.652359165938334
rocas_igneas,6/3/2003,2,0.1,POINT (-99.51883 17.156271),8.0,17.156271,-99.51883,20,7.0,5.0,211.8241882,93.0,6.2358425458272295,REGOSOL EUTRICO,16.66122246,0,8.505377616382024,12.068,0.8959200000000002,7.0,20,11.476060692030346
rocas_igneas,8/22/2003,2,0.0,POINT (-105.31132 20.465515),12.0,20.465515,-105.31132,14,10.0,5.7,155.0924683,85.0,5.682868957519531,LITOSOL,16.81706238,0,5.695782366569853,17.24,0.5856000000000003,15.0,14,7.7314369784591435
rocas_igneas,11/18/2002,5,0.0,POINT (-106.34193 30.621567),7.0,30.621567,-106.34193,20,0.0,7.8,43.62361145,84.0,0.8933885331191994,REGOSOL CALCARICO,13.86884212,0,11.090763714162936,0.0,1.62,16.0,20,0.0
rocas_igneas,11/19/2002,4,0.4,POINT (-98.42302 19.225765),9.0,19.225765,-98.42302,17,4.0,7.6,43.62361145,82.0,0.8952539842031155,FLUVISOL EUTRICO,13.86884212,0,0.02859226348105075,6.896,1.2062400000000002,18.0,17,8.200086739030706
