date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1971-4-3,1601392,-104.96833209703573,21.875936875219782,0,24,30.0,4.8,32.0,38.0,0.0
1971-7-15,1392829,-101.17472057508594,21.454840384908465,0,10,28.0,6.8,38.0,34.0,0.0
1971-7-15,1392829,-101.17472057508594,21.454840384908465,10,20,40.0,6.3,38.0,22.0,0.0
1971-7-16,1358128,-101.23379138042708,21.421869006614646,0,16,22.0,5.7,52.0,26.0,0.0
1971-7-19,1462238,-100.88890735327624,21.25296252203318,0,10,28.0,5.9,52.0,20.0,0.0
1971-7-19,1462238,-100.88890735327624,21.25296252203318,10,30,24.0,6.0,50.0,26.0,0.0
1971-7-25,1427688,-100.9209448076524,21.080834964254212,0,16,24.0,7.0,44.0,32.0,0.0
1971-7-28,1392842,-100.61216736312927,20.92123667893477,0,26,40.0,5.9,34.0,26.0,0.0
1971-7-4,1427626,-103.9405219331786,22.177796147002113,0,17,28.0,5.8,56.0,16.0,0.0
1971-7-6,1358072,-104.10946989560574,22.071473736381595,0,28,22.0,6.3,58.0,20.0,0.0
1971-8-29,1392850,-100.15649609713024,20.213516799432714,0,24,34.0,5.4,44.0,22.0,0.0
1971-8-30,1184348,-100.22168444189403,20.162898452649795,0,20,38.0,6.1,36.0,26.0,0.0
1971-9-12,1184346,-100.09492597331011,20.458276688253466,0,14,30.0,6.1,52.0,18.0,0.0
1971-9-14,1462254,-100.28645836654223,20.304334196872105,0,12,32.0,6.1,46.0,22.0,0.0
1971-9-2,1253954,-100.18084096048871,21.07354386889436,0,26,14.0,5.8,76.0,10.0,0.0
1971-9-27,1323316,-101.29577208386158,21.458530188254315,0,20,22.0,6.1,44.0,34.0,0.0
1971-9-28,1149449,-101.29585055254617,21.171878657917283,0,10,26.0,6.7,48.0,26.0,0.0
1971-9-28,1149449,-101.29585055254617,21.171878657917283,10,30,50.0,7.0,34.0,16.0,0.0
1971-9-28,1636255,-101.22118994652435,21.17491017319906,0,10,16.0,5.9,52.0,32.0,0.0
1971-9-3,1462239,-100.17767989401119,21.202785221988833,0,28,12.0,6.3,74.0,14.0,0.0
1971-9-7,1219048,-105.51318704796154,22.77606285283608,0,27,22.0,4.9,46.0,32.0,0.0
1972-1-16,1149342,-103.97153272528644,20.22878879684959,0,18,28.0,6.6,34.0,38.0,0.0
1972-10-20,1636005,-99.21449212738135,18.35586024923349,0,22,24.0,6.7,56.0,20.0,0.0
1972-11-25,1496677,-99.79550530365555,18.700411187669047,0,30,60.0,5.6,18.0,22.0,0.0
1972-2-16,1149458,-101.72623928891753,20.44261207929421,0,30,34.0,6.4,42.0,24.0,0.0
1972-2-22,1636174,-102.11118128452031,20.652269376064492,0,13,38.0,5.2,40.0,22.0,0.0
1972-3-1,1149341,-103.07832660182501,20.015855248108146,0,10,36.0,5.8,44.0,20.0,0.0
1972-3-13,1427587,-103.35457667131061,20.465317031831635,0,22,24.0,6.4,44.0,32.0,0.0
1972-3-14,1496847,-103.59433947252633,20.344093074581195,0,9,32.0,9.6,50.0,18.0,10.0
1972-3-15,1184238,-103.15687769973745,20.122368384202854,0,22,22.0,6.5,68.0,10.0,0.0
1972-3-15,1566490,-103.19129229783832,20.941964743883574,0,22,36.0,5.6,36.0,28.0,0.0
1972-3-17,1392827,-100.25842578568549,21.69348209663767,0,15,32.0,5.2,32.0,36.0,0.0
1972-3-21,1253868,-103.75961084525362,20.75729551374217,0,25,20.0,5.6,56.0,24.0,0.0
1972-3-7,1566587,-101.54314544966078,20.04009710924677,0,18,26.0,6.0,48.0,26.0,0.0
1972-6-13,1427614,-105.09742923214192,22.611624400738112,0,15,30.0,6.4,40.0,30.0,0.0
1972-7-10,1462161,-104.7202228338941,23.058294324461933,0,25,36.0,4.9,36.0,28.0,0.0
1972-7-18,1219030,-103.79452556419798,20.714177617126236,0,8,24.0,6.4,54.0,22.0,0.0
1972-7-18,1219030,-103.79452556419798,20.714177617126236,8,21,32.0,6.3,44.0,24.0,0.0
1972-7-27,1323228,-105.09357593927628,23.5343867768974,0,12,32.0,6.1,32.0,36.0,0.0
1972-8-6,1427598,-105.17774556830557,23.20719492760133,0,30,32.0,6.0,32.0,36.0,0.0
1973-3-1,1462155,-102.91530390901676,20.561328239844816,0,12,40.0,5.8,32.0,28.0,0.0
1973-3-21,1288639,-103.537891495228,20.79350673539424,0,20,22.0,5.5,52.0,26.0,0.0
1973-3-29,1219029,-102.79355410076083,20.924661871024096,0,27,32.0,5.9,30.0,38.0,0.0
1973-3-30,1531660,-102.91261830655904,20.75862749038564,0,15,46.0,5.4,26.0,28.0,0.0
1973-9-9,1531661,-102.15218656068888,20.74186872596282,0,23,22.0,5.5,48.0,30.0,0.0
1974-12-5,1219031,-103.11428043090838,20.561340985976084,0,30,36.0,6.8,44.0,20.0,0.0
1975-4-22,1392765,-105.44919645691884,23.323586806584895,0,8,28.0,5.0,42.0,30.0,0.0
1975-9-28,1288439,-104.53203835083646,19.48698857116281,0,22,44.0,6.3,28.0,28.0,0.0
1977-11-9,1462156,-102.39654328039933,20.706913002307225,0,20,54.0,5.8,28.0,18.0,0.0
1979-4-4,1184317,-98.01630265935378,22.9870665510349,0,19,28.0,6.2,24.0,48.0,0.0
1979-6-15,1289003,-99.68022206552489,24.77385199995109,0,15,36.0,7.0,46.0,18.0,0.0
1979-6-15,1289003,-99.68022206552489,24.77385199995109,15,30,38.0,7.0,42.0,20.0,0.0
1979-6-16,1393127,-116.28166514161911,31.90595801557396,0,22,10.0,6.8,70.0,20.0,0.0
1979-6-16,1393127,-116.28166514161911,31.90595801557396,22,27,8.0,6.9,72.0,20.0,0.0
1979-6-17,1532032,-116.54562954309792,31.55887779776359,0,20,22.0,7.0,56.0,22.0,0.0
1979-6-17,1566838,-116.30375052816808,31.864094709922043,0,9,8.0,6.7,66.0,26.0,0.0
1979-6-18,1427987,-116.03807295088805,31.27439051931944,0,16,8.0,6.0,68.0,24.0,0.0
1979-7-17,1462515,-115.87188322138506,30.87809794671441,0,11,12.0,6.4,62.0,26.0,0.0
1979-7-17,1462515,-115.87188322138506,30.87809794671441,11,19,14.0,6.8,58.0,28.0,0.0
1979-7-19,1566854,-115.89771480452325,30.691904149248185,0,21,14.0,6.5,62.0,24.0,0.0
1979-7-21,1358452,-112.49160085090983,31.570125361917174,0,18,12.0,8.2,64.0,24.0,41.0
1979-7-21,1428009,-113.25457601778224,31.76607102849468,0,29,6.0,8.3,90.0,4.0,88.0
1979-7-21,1428010,-113.00426961748207,31.65370148788089,0,12,4.0,7.8,76.0,20.0,38.0
1979-7-21,1428010,-113.00426961748207,31.65370148788089,12,24,4.0,8.2,78.0,18.0,50.0
1979-7-21,1462524,-112.23697226573684,31.59203357295814,0,16,16.0,8.3,58.0,26.0,184.0
1979-7-23,1393143,-115.51428557453029,30.423246038422068,0,13,10.0,6.8,76.0,14.0,0.0
1979-7-24,1184608,-112.16857001677859,31.26220059928777,0,6,22.0,8.3,54.0,24.0,231.0
1979-7-24,1184608,-112.16857001677859,31.26220059928777,6,26,34.0,8.3,42.0,24.0,275.0
1979-7-24,1184609,-112.33211368481581,31.061676178722994,0,19,12.0,8.1,68.0,20.0,81.0
1979-7-25,1219457,-112.51015380697821,31.414419653169208,0,18,14.0,8.3,62.0,24.0,175.0
1979-7-25,1289032,-112.879774502206,31.490747291666807,0,20,4.0,8.0,70.0,26.0,53.0
1979-7-25,1601751,-112.16475943552653,31.40042789584721,0,21,16.0,8.3,62.0,22.0,106.0
1979-7-27,1254269,-115.75763584653367,30.32182307168854,0,16,14.0,6.5,62.0,24.0,0.0
1979-7-27,1289033,-112.50647968732483,31.313981051154503,0,14,6.0,7.7,82.0,12.0,56.0
1979-7-27,1323638,-112.18800978863386,31.33916630236997,0,12,12.0,7.3,62.0,26.0,72.0
1979-7-27,1393161,-113.2421783943419,31.84037760869196,0,19,6.0,8.4,82.0,12.0,134.0
1979-7-27,1428011,-112.10396510898103,31.255124121647274,0,20,12.0,6.7,66.0,22.0,64.0
1979-7-28,1219445,-115.66111818603723,30.21031318732951,0,19,16.0,5.4,52.0,32.0,0.0
1979-8-1,1219446,-115.06228046441998,30.078136262269613,0,16,24.0,7.0,58.0,18.0,0.0
1979-8-20,1636745,-116.0414668083654,32.363821596209746,0,7,4.0,6.9,76.0,20.0,0.0
1979-8-20,1636745,-116.0414668083654,32.363821596209746,7,30,18.0,6.9,66.0,16.0,0.0
1979-8-21,1323786,-116.73047743307859,32.327078461405925,0,16,14.0,6.3,54.0,32.0,0.0
