,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,organic_matter,bulk_density,silt_plus_clay,landcover,geometry,spatial_lag,moran_i,dist_knn_km,knn_target_mean,dist_to_hotspot_km
25,0,4,0.8950495049504951,72.8,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,21.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
27,0,4,0.8950495049504951,72.8,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,10.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
28,0,4,0.8950495049504951,72.8,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,30.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
29,0,4,0.8950495049504951,72.8,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,21.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
31,0,4,0.8950495049504951,72.8,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,10.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
32,0,4,0.8950495049504951,72.8,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,30.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
33,2,28,0.8950495049504951,29.5,7.2768608414239475,39.0,46.3192068429238,15.48587412941641,108.64423184496617,50.858,-1.4314799999999996,10.0,0.0,POINT (-90.7319 18.6152),49.797435897435896,2.4734684404547456,0.0,51.6,0.0
34,3,20,0.8950495049504951,65.0,7.2768608414239475,48.0,46.3192068429238,15.48587412941641,108.64423184496617,112.06,-5.1036,18.0,0.0,POINT (-90.7319 18.6152),48.88717948717949,8.300955466967533,0.0,51.6,0.0
35,4,17,0.8950495049504951,17.2,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,29.6528,-0.15916799999999975,15.0,0.0,POINT (-90.7319 18.6152),50.11282051282051,0.3805573124307442,0.0,51.6,0.0
36,4,18,0.8950495049504951,22.3,7.2768608414239475,18.0,46.3192068429238,15.48587412941641,108.64423184496617,38.4452,-0.686712,18.0,0.0,POINT (-90.7319 18.6152),49.98205128205128,1.2529595602712271,0.0,51.6,0.0
37,4,20,0.8950495049504951,35.7,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,61.546800000000005,-2.072808,23.0,0.0,POINT (-90.7319 18.6152),49.638461538461534,3.514032334955925,0.0,51.6,0.0
38,4,20,0.8950495049504951,35.7,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,61.546800000000005,-2.072808,16.0,0.0,POINT (-90.7319 18.6152),49.638461538461534,3.514032334955925,0.0,51.6,0.0
39,4,20,0.8950495049504951,35.7,7.2768608414239475,6.0,46.3192068429238,15.48587412941641,108.64423184496617,61.546800000000005,-2.072808,23.0,0.0,POINT (-90.7319 18.6152),49.638461538461534,3.514032334955925,0.0,51.6,0.0
40,4,20,0.8950495049504951,35.7,7.2768608414239475,6.0,46.3192068429238,15.48587412941641,108.64423184496617,61.546800000000005,-2.072808,16.0,0.0,POINT (-90.7319 18.6152),49.638461538461534,3.514032334955925,0.0,51.6,0.0
41,4,30,0.8950495049504951,24.3,7.2768608414239475,28.0,46.3192068429238,15.48587412941641,108.64423184496617,41.8932,-0.8935919999999999,26.0,0.0,POINT (-90.7319 18.6152),49.93076923076923,1.59329542079602,0.0,51.6,0.0
42,0,15,2.0,26.0,6.3,44.0,0.0,15.46716785,131.2931671,44.824,-1.0694399999999997,56.0,0.0,POINT (-100.462494 21.49625),18.636363636363644,0.19676292569312176,85.91077410740691,21.0,6.717044370664326
43,0,12,2.0,9.0,6.1,48.0,0.0,15.46716785,131.2931671,15.516,0.6890400000000001,52.0,0.0,POINT (-101.695885 21.741673),8.333333333333334,0.19504726722073967,87.23786920048866,6.8,131.5975052165502
