profile_id,depth_category,date,longitude,latitude,clay,elcosp,phaq,sand,silt,orgc,soil_type,slopemean,bedrock,cfr,temperature,precipitation,ecoregion_type,zone_number,zone_name,landcover
1149115,0_5,2004-5-27,-92.92487241876384,15.375746884890615,11.4732929031826,0.117950301366092,5.9179572765104,53.4118098626149,35.1148972342025,15.8689713163466,FLUVISOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.001939442578294,16.6757755279541,147.14187622070312,Terrestre,1.0,Tropical húmeda,10.0
1149115,15_30,2004-5-27,-92.92487241876384,15.375746884890615,13.4431504332843,0.0492197939445654,5.85421873353681,33.2998248326877,53.257024734028,8.68330246790556,FLUVISOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.0114135631020015,16.6757755279541,147.14187622070312,Terrestre,1.0,Tropical húmeda,10.0
1149115,5_15,2004-5-27,-92.92487241876384,15.375746884890615,11.914495601166,0.102914009962028,5.90291514229065,48.8785405621128,39.2069638367212,14.3034044344718,FLUVISOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.0009313724043053,16.6757755279541,147.14187622070312,Terrestre,1.0,Tropical húmeda,10.0
1149116,0_5,2004-11-12,-93.80553111244994,15.933932966577258,10.2412704963082,0.112063524815412,5.82414111007471,83.3284277239166,6.4303017797752,10.5300311861085,REGOSOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.001939442578294,14.863654136657717,85.93345642089844,Terrestre,7.0,Inundable o Transición tierra-mar,17.0
1149116,15_30,2004-11-12,-93.80553111244994,15.933932966577258,8.34024854668966,0.0183387831630009,6.44999462958252,88.7911350424451,2.8686164108652,6.11402498657396,REGOSOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.0114135631020015,14.863654136657717,85.93345642089844,Terrestre,7.0,Inundable o Transición tierra-mar,17.0
1149116,5_15,2004-11-12,-93.80553111244994,15.933932966577258,9.71195257073405,0.0855976285367026,5.99056622572713,84.8017750643037,5.48627236496227,9.36720766556432,REGOSOL EUTRICO,0.1536994957141027,rocas_metamorficas,0.0009313724043053,14.863654136657717,85.93345642089844,Terrestre,7.0,Inundable o Transición tierra-mar,17.0
1149118,0_5,1984-4-15,-92.34085842019569,14.761703209398638,18.8470182721425,1.0,6.13266175632953,50.1055546051383,31.0474271227192,14.4239894828702,CAMBISOL EUTRICO,0.1536994957141027,rocas_igneas,0.001939442578294,15.88495922088623,77.32976531982422,Terrestre,1.0,Tropical húmeda,
1149118,15_30,1984-4-15,-92.34085842019569,14.761703209398638,23.4763233424728,1.0,6.4015416184253,49.6625413393685,26.8611353181587,16.6482497996857,CAMBISOL EUTRICO,0.1536994957141027,rocas_igneas,0.0114135631020015,15.88495922088623,77.32976531982422,Terrestre,1.0,Tropical húmeda,
1149118,5_15,1984-4-15,-92.34085842019569,14.761703209398638,19.8471167316208,1.0,6.19107107204692,50.0139963475883,30.1388869207909,14.9236220589174,CAMBISOL EUTRICO,0.1536994957141027,rocas_igneas,0.0009313724043053,15.88495922088623,77.32976531982422,Terrestre,1.0,Tropical húmeda,
1149120,0_5,1990-7-12,-104.97987623659073,19.94110915723029,10.4307782620145,1.0,4.77177412505354,69.6873383100755,19.88188342791,1.95151205727439,CAMBISOL CROMICO,2.4628665447235107,rocas_igneas,2.349695801737606,15.541918754577637,159.12200927734375,Terrestre,4.0,Templada subhúmeda,
1149120,15_30,1990-7-12,-104.97987623659073,19.94110915723029,9.44004414697062,1.0,5.06664548007137,75.005255024181,15.5547008288484,2.06295359115511,CAMBISOL CROMICO,2.4628665447235107,rocas_igneas,14.812546773599935,15.541918754577637,159.12200927734375,Terrestre,4.0,Templada subhúmeda,
1149120,5_15,1990-7-12,-104.97987623659073,19.94110915723029,10.2224934201859,1.0,4.83377239292495,70.805529307078,18.9719772727361,1.97495637740784,CAMBISOL CROMICO,2.4628665447235107,rocas_igneas,4.458077907563941,15.541918754577637,159.12200927734375,Terrestre,4.0,Templada subhúmeda,
1149123,0_5,1990-7-7,-104.61654843746298,19.69568747966163,31.6913168122523,1.0,4.1315489475507,52.7863114249432,15.5223717628045,10.4848241428407,CAMBISOL EUTRICO,0.4592507779598236,rocas_sedimentarias,0.221471873472535,15.541918754577637,159.12200927734375,Terrestre,2.0,Tropical subhúmeda,
1149123,15_30,1990-7-7,-104.61654843746298,19.69568747966163,33.0969923504843,1.0,4.45054224817815,49.3467146598243,17.5562929896914,8.29524687566612,CAMBISOL EUTRICO,0.4592507779598236,rocas_sedimentarias,0.540898323059082,15.541918754577637,159.12200927734375,Terrestre,2.0,Tropical subhúmeda,
1149123,5_15,1990-7-7,-104.61654843746298,19.69568747966163,32.0033868061352,1.0,4.20075103035603,51.9913727586605,16.0052404352043,9.99468061285285,CAMBISOL EUTRICO,0.4592507779598236,rocas_sedimentarias,0.1409766500194867,15.541918754577637,159.12200927734375,Terrestre,2.0,Tropical subhúmeda,
1149124,0_5,1990-7-3,-104.55818141764506,19.399077838240576,33.7072705919874,1.0,5.89277427963439,40.0344038229034,26.2583255851092,20.1761771935205,CAMBISOL CROMICO,1.236985445022583,rocas_igneas,1.887134850032442,15.541918754577637,159.12200927734375,Terrestre,2.0,Tropical subhúmeda,
1149124,15_30,1990-7-3,-104.55818141764506,19.399077838240576,46.3781226133237,1.0,6.20931770768733,35.9663864755442,17.655490911132,12.7715009026,CAMBISOL CROMICO,1.236985445022583,rocas_igneas,6.397104805453056,15.541918754577637,159.12200927734375,Terrestre,2.0,Tropical subhúmeda,
