date,longitude,latitude,upper_depth,lower_depth,country_name,region,continent,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,silt_plus_clay,organic_matter,bulk_density
1948-03-11,-116.86399,32.359093,0,16,Mexico,Central America,Northern America,0.2,18.0,6.2,60.0,0.0,15.45202351,96.69832611,7.0,40.0,31.032,-0.2419199999999999
1966-01-08,-116.855644,32.282986,0,20,Mexico,Central America,Northern America,0.1,11.0,6.0,52.0,0.0,15.45202351,96.69832611,7.0,48.0,18.964,0.48216000000000014
1905-10-01,-102.53145,21.343628,0,5,Mexico,Central America,Northern America,0.4,20.0,6.4,68.0,28.0,15.45202351,96.69832611,10.0,32.0,34.48,-0.4487999999999994
1993-09-17,-102.53145,21.343628,5,26,Mexico,Central America,Northern America,0.0,3.0,7.4,66.0,22.0,15.45202351,96.69832611,10.0,34.0,5.172,1.3096800000000002
1950-05-21,-116.87062,32.102436,0,12,Mexico,Central America,Northern America,0.1,12.0,6.6,56.0,0.0,15.45202351,96.69832611,7.0,44.0,20.688,0.37872000000000017
2005-09-12,-116.8057,32.06771,0,9,Mexico,Central America,Northern America,0.2,15.0,6.3,46.0,0.0,15.45202351,96.69832611,7.0,54.0,25.86,0.06840000000000024
1919-05-17,-116.8057,32.06771,9,21,Mexico,Central America,Northern America,0.2,11.0,6.2,40.0,0.0,15.45202351,96.69832611,7.0,60.0,18.964,0.48216000000000014
1917-10-16,-103.04747,21.030828,0,3,Mexico,Central America,Northern America,0.2,22.0,5.3,44.0,0.0,15.45202351,96.69832611,12.0,56.0,37.928,-0.6556799999999998
2016-06-19,-103.04747,21.030828,3,22,Mexico,Central America,Northern America,0.0,10.0,6.3,42.0,0.0,15.45202351,96.69832611,12.0,58.0,17.24,0.5856000000000003
1917-11-21,-102.585976,21.041178,0,7,Mexico,Central America,Northern America,0.1,8.0,5.6,54.0,0.0,15.45202351,96.69832611,7.0,46.0,13.792,0.7924800000000002
2011-12-18,-102.585976,21.041178,7,19,Mexico,Central America,Northern America,0.0,6.0,6.4,50.0,0.0,15.45202351,96.69832611,7.0,50.0,10.344,0.9993600000000001
1946-09-22,-98.684715,19.562061,7,22,Mexico,Central America,Northern America,0.0,12.0,6.6,70.0,0.0,15.45202351,96.69832611,8.0,30.0,20.688,0.37872000000000017
1989-08-19,-116.64369,32.06271,0,25,Mexico,Central America,Northern America,0.1,4.0,6.4,44.0,0.0,15.45202351,96.69832611,10.0,56.0,6.896,1.2062400000000002
1992-12-27,-116.57869,32.073544,0,11,Mexico,Central America,Northern America,0.2,15.0,6.8,66.0,0.0,15.45202351,96.69832611,7.0,34.0,25.86,0.06840000000000024
1983-04-20,-102.93271,21.30773,0,2,Mexico,Central America,Northern America,0.3,23.0,6.0,52.0,0.0,15.45202351,96.69832611,10.0,48.0,39.652,-0.7591199999999998
1937-04-16,-102.85527,21.253078,0,2,Mexico,Central America,Northern America,0.1,22.0,7.9,52.0,25.0,15.45202351,96.69832611,10.0,48.0,37.928,-0.6556799999999998
1941-01-04,-102.85527,21.253078,2,16,Mexico,Central America,Northern America,0.0,5.0,8.0,64.0,17.0,15.45202351,96.69832611,10.0,36.0,8.62,1.1028000000000002
1987-10-26,-116.53315,32.312164,3,12,Mexico,Central America,Northern America,0.2,10.0,7.4,68.0,63.0,13.86884212,43.62361145,7.0,32.0,17.24,0.5856000000000003
1980-08-01,-116.52009,32.229103,0,9,Mexico,Central America,Northern America,0.2,11.0,6.7,40.0,0.0,13.86884212,43.62361145,7.0,60.0,18.964,0.48216000000000014
1901-02-21,-116.52009,32.229103,9,16,Mexico,Central America,Northern America,0.1,7.0,6.4,54.0,0.0,13.86884212,43.62361145,7.0,46.0,12.068,0.8959200000000002
1970-02-19,-103.097496,21.49427,0,6,Mexico,Central America,Northern America,0.1,16.0,8.0,48.0,65.0,13.86884212,43.62361145,10.0,52.0,27.584,-0.03503999999999974
1969-10-26,-103.097496,21.49427,6,22,Mexico,Central America,Northern America,0.1,12.0,8.2,42.0,50.0,13.86884212,43.62361145,10.0,58.0,20.688,0.37872000000000017
2007-08-08,-102.80651,21.582663,0,2,Mexico,Central America,Northern America,0.1,12.0,5.5,50.0,0.0,13.86884212,43.62361145,7.0,50.0,20.688,0.37872000000000017
1918-01-15,-102.80651,21.582663,2,15,Mexico,Central America,Northern America,0.0,6.0,5.7,46.0,0.0,13.86884212,43.62361145,7.0,54.0,10.344,0.9993600000000001
1994-04-23,-98.19124,19.72078,0,23,Mexico,Central America,Northern America,0.0,30.0,5.9,50.0,0.0,13.86884212,43.62361145,8.0,50.0,51.72,-1.4831999999999996
1950-12-06,-98.09065,19.681948,0,23,Mexico,Central America,Northern America,0.0,45.0,6.2,58.0,0.0,13.86884212,43.62361145,2.0,42.0,77.58,-3.0347999999999997
2015-05-03,-112.88117,31.671856,0,20,Mexico,Central America,Northern America,0.2,4.0,7.8,76.0,5.0,13.86884212,43.62361145,10.0,24.0,6.896,1.2062400000000002
1948-02-21,-112.80676,31.84742,0,24,Mexico,Central America,Northern America,0.1,4.0,7.8,54.0,15.0,13.86884212,43.62361145,10.0,46.0,6.896,1.2062400000000002
2006-08-12,-107.14745,31.220541,0,19,Mexico,Central America,Northern America,0.1,2.0,8.9,78.0,40.0,13.86884212,43.62361145,16.0,22.0,3.448,1.4131200000000002
2004-01-27,-112.68064,31.795755,0,18,Mexico,Central America,Northern America,0.3,10.0,7.8,28.0,23.0,13.86884212,43.62361145,7.0,72.0,17.24,0.5856000000000003
1974-03-07,-112.58285,31.679083,0,10,Mexico,Central America,Northern America,0.2,7.0,7.5,36.0,5.0,13.86884212,43.62361145,10.0,64.0,12.068,0.8959200000000002
1900-11-26,-112.58285,31.679083,10,26,Mexico,Central America,Northern America,0.3,6.0,7.8,52.0,27.0,13.86884212,43.62361145,10.0,48.0,10.344,0.9993600000000001
1910-12-25,-101.38612,22.949478,0,17,Mexico,Central America,Northern America,0.2,15.0,8.2,48.0,250.0,13.86884212,43.62361145,10.0,52.0,25.86,0.06840000000000024
1927-07-12,-112.46008,31.67186,0,15,Mexico,Central America,Northern America,0.1,5.0,7.3,74.0,10.0,13.86884212,43.62361145,7.0,26.0,8.62,1.1028000000000002
1924-08-22,-112.279526,31.605469,0,10,Mexico,Central America,Northern America,0.2,3.0,8.0,62.0,15.0,13.86884212,43.62361145,10.0,38.0,5.172,1.3096800000000002
1994-11-06,-112.71838,31.513245,0,10,Mexico,Central America,Northern America,0.2,5.0,8.1,68.0,32.0,13.86884212,43.62361145,7.0,32.0,8.62,1.1028000000000002
1962-08-07,-112.71838,31.513245,10,25,Mexico,Central America,Northern America,0.2,5.0,8.1,76.0,37.0,13.86884212,43.62361145,7.0,24.0,8.62,1.1028000000000002
1916-03-21,-112.46558,31.182411,0,24,Mexico,Central America,Northern America,0.1,7.0,8.2,60.0,80.0,13.86884212,43.62361145,7.0,40.0,12.068,0.8959200000000002
1946-12-13,-101.64186,22.159817,0,21,Mexico,Central America,Northern America,0.1,6.0,6.2,54.0,0.0,13.86884212,43.62361145,10.0,46.0,10.344,0.9993600000000001
1901-10-06,-97.26049,19.354626,4,28,Mexico,Central America,Northern America,0.0,7.0,6.9,56.0,0.0,13.86884212,43.62361145,12.0,44.0,12.068,0.8959200000000002
1975-11-28,-102.70035,22.69672,0,22,Mexico,Central America,Northern America,0.1,7.0,6.4,60.0,0.0,13.86884212,43.62361145,10.0,40.0,12.068,0.8959200000000002
1971-10-01,-96.91272,19.669365,0,30,Mexico,Central America,Northern America,0.0,5.0,6.5,54.0,0.0,13.86884212,43.62361145,12.0,46.0,8.62,1.1028000000000002
1991-03-21,-106.75664,30.145338,0,14,Mexico,Central America,Northern America,0.1,16.0,7.0,58.0,0.0,13.86884212,43.62361145,7.0,42.0,27.584,-0.03503999999999974
1984-03-12,-102.108665,22.462032,0,16,Mexico,Central America,Northern America,0.2,11.0,5.8,44.0,0.0,13.86884212,43.62361145,7.0,56.0,18.964,0.48216000000000014
2022-07-09,-96.73999,19.453203,0,25,Mexico,Central America,Northern America,0.0,43.0,6.5,42.0,0.0,13.86884212,43.62361145,13.0,58.0,74.132,-2.8279199999999998
2022-01-05,-98.2541,19.347929,0,8,Mexico,Central America,Northern America,0.1,33.0,5.6,42.0,0.0,13.86884212,43.62361145,2.0,58.0,56.891999999999996,-1.7935199999999996
2011-03-12,-98.18904,19.462091,0,28,Mexico,Central America,Northern America,0.1,13.0,5.9,42.0,0.0,13.86884212,43.62361145,9.0,58.0,22.412,0.2752800000000002
1907-12-05,-116.678795,31.719687,10,26,Mexico,Central America,Northern America,0.1,13.0,6.7,52.0,10.0,13.86884212,43.62361145,10.0,48.0,22.412,0.2752800000000002
1906-09-28,-116.5432,31.703016,0,18,Mexico,Central America,Northern America,0.1,7.0,6.7,64.0,0.0,13.86884212,43.62361145,10.0,36.0,12.068,0.8959200000000002
1980-03-24,-102.13636,22.195282,0,15,Mexico,Central America,Northern America,0.1,7.0,6.7,62.0,0.0,13.86884212,43.62361145,7.0,38.0,12.068,0.8959200000000002
1927-01-23,-102.12558,22.315422,0,14,Mexico,Central America,Northern America,0.1,10.0,7.5,56.0,24.0,13.86884212,43.62361145,7.0,44.0,17.24,0.5856000000000003
1903-12-12,-98.67794,19.34429,0,24,Mexico,Central America,Northern America,0.0,26.0,6.1,38.0,0.0,13.86884212,43.62361145,4.0,62.0,44.824,-1.0694399999999997
2011-09-21,-116.325966,31.423538,0,7,Mexico,Central America,Northern America,0.1,11.0,6.9,54.0,0.0,13.86884212,43.62361145,7.0,46.0,18.964,0.48216000000000014
1960-02-07,-116.325966,31.423538,7,18,Mexico,Central America,Northern America,0.1,9.0,6.8,48.0,0.0,13.86884212,43.62361145,7.0,52.0,15.516,0.6890400000000001
1940-07-09,-116.2257,31.299292,0,14,Mexico,Central America,Northern America,0.2,4.0,7.1,80.0,8.0,13.86884212,43.62361145,7.0,20.0,6.896,1.2062400000000002
1989-05-20,-116.130135,31.14304,0,11,Mexico,Central America,Northern America,0.1,1.0,7.0,74.0,0.0,13.86884212,43.62361145,9.0,26.0,1.724,1.5165600000000001
2018-03-18,-116.130135,31.14304,11,25,Mexico,Central America,Northern America,0.1,0.0,7.0,70.0,0.0,13.86884212,43.62361145,9.0,30.0,0.0,1.62
1911-06-04,-105.744675,23.024763,0,20,Mexico,Central America,Northern America,0.1,16.0,6.4,66.0,0.0,13.86884212,43.62361145,10.0,34.0,27.584,-0.03503999999999974
1916-01-17,-98.93345,19.160908,0,10,Mexico,Central America,Northern America,0.1,39.0,6.6,40.0,0.0,13.86884212,43.62361145,9.0,60.0,67.236,-2.41416
1932-05-19,-98.775696,19.144934,0,25,Mexico,Central America,Northern America,0.1,11.0,6.7,68.0,0.0,13.86884212,43.62361145,9.0,32.0,18.964,0.48216000000000014
1922-10-11,-97.02478,19.104439,0,17,Mexico,Central America,Northern America,0.0,26.0,4.8,52.0,0.0,13.86884212,43.62361145,10.0,48.0,44.824,-1.0694399999999997
1979-08-07,-116.24003,31.908907,0,17,Mexico,Central America,Northern America,0.3,5.0,7.5,72.0,5.0,13.86884212,43.62361145,7.0,28.0,8.62,1.1028000000000002
1947-12-03,-116.05692,31.82225,0,16,Mexico,Central America,Northern America,0.1,8.0,7.0,78.0,0.0,13.86884212,43.62361145,7.0,22.0,13.792,0.7924800000000002
2000-08-03,-102.3548,22.140112,0,24,Mexico,Central America,Northern America,0.1,5.0,6.0,44.0,0.0,13.86884212,43.62361145,10.0,56.0,8.62,1.1028000000000002
1987-11-11,-102.193954,19.532053,3,14,Mexico,Central America,Northern America,0.0,1.0,6.6,84.0,0.0,13.86884212,43.62361145,4.0,16.0,1.724,1.5165600000000001
1977-08-19,-102.07055,19.232742,0,10,Mexico,Central America,Northern America,0.0,20.0,6.1,38.0,0.0,13.86884212,43.62361145,9.0,62.0,34.48,-0.4487999999999994
1902-08-06,-102.07055,19.232742,10,26,Mexico,Central America,Northern America,0.1,13.0,6.4,28.0,0.0,13.86884212,43.62361145,9.0,72.0,22.412,0.2752800000000002
1981-07-12,-99.30243,19.205853,0,25,Mexico,Central America,Northern America,0.0,43.0,5.8,64.0,0.0,13.86884212,43.62361145,9.0,36.0,74.132,-2.8279199999999998
1987-09-23,-114.96194,31.080727,0,7,Mexico,Central America,Northern America,0.2,4.0,8.3,78.0,28.0,13.86884212,43.62361145,7.0,22.0,6.896,1.2062400000000002
1995-08-14,-114.96194,31.080727,7,20,Mexico,Central America,Northern America,0.1,0.0,9.1,88.0,10.0,13.86884212,43.62361145,7.0,12.0,0.0,1.62
1998-01-16,-102.67168,19.79016,0,19,Mexico,Central America,Northern America,0.1,21.0,6.4,32.0,0.0,13.86884212,43.62361145,2.0,68.0,36.204,-0.5522399999999998
1925-05-08,-102.10282,22.75139,0,18,Mexico,Central America,Northern America,0.2,13.0,7.5,76.0,25.0,13.86884212,43.62361145,7.0,24.0,22.412,0.2752800000000002
2021-02-21,-99.091866,19.210823,0,22,Mexico,Central America,Northern America,0.1,31.0,5.2,38.0,0.0,13.86884212,43.62361145,9.0,62.0,53.444,-1.58664
1946-12-21,-115.09814,31.009302,0,17,Mexico,Central America,Northern America,0.1,1.0,9.0,88.0,20.0,13.86884212,43.62361145,7.0,12.0,1.724,1.5165600000000001
2021-07-02,-115.07118,31.659492,0,9,Mexico,Central America,Northern America,0.1,1.0,8.6,62.0,65.0,13.86884212,43.62361145,10.0,38.0,1.724,1.5165600000000001
1950-02-15,-115.00021,31.060184,0,8,Mexico,Central America,Northern America,0.1,0.0,8.9,74.0,40.0,13.86884212,43.62361145,7.0,26.0,0.0,1.62
2002-07-10,-114.968124,31.25033,0,15,Mexico,Central America,Northern America,0.1,2.0,8.8,84.0,20.0,13.86884212,43.62361145,10.0,16.0,3.448,1.4131200000000002
1927-02-13,-103.201385,19.747585,0,12,Mexico,Central America,Northern America,0.0,14.0,6.4,60.0,0.0,13.86884212,43.62361145,12.0,40.0,24.136,0.17184000000000021
1952-11-03,-97.59656,19.744259,0,16,Mexico,Central America,Northern America,0.1,11.0,5.8,46.0,0.0,13.86884212,43.62361145,8.0,54.0,18.964,0.48216000000000014
