elcosp,lower_depth,phaq,precipitation,sand,temperature,upper_depth,silt_plus_clay,soc_tha,landcover_2,landcover_4,landcover_5,landcover_6,landcover_7,landcover_8,landcover_9,landcover_10,landcover_11,landcover_12,landcover_13,landcover_14,landcover_16,landcover_17,ecoregion_2,ecoregion_3,ecoregion_4,ecoregion_5,ecoregion_6,ecoregion_7
0.1,10,9.1,142.0421143,82.0,15.95401573,0,18.0,-72.85264607383212,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,16,5.1,165.5812531,82.0,16.67821503,6,18.0,3.918851601100971,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,18,8.3,165.5812531,90.0,16.67821503,0,10.0,-32.77773169929381,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,17,8.2,142.0421143,84.0,15.95401573,0,16.0,-83.07286482859585,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.4,6,8.6,165.5812531,80.0,16.67821503,0,20.0,-16.66079344617065,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,8,8.2,142.0421143,94.0,15.95401573,0,6.0,-117.31954018996603,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,15,7.2,142.0421143,88.0,15.95401573,0,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,12,8.5,142.0421143,80.0,15.95401573,0,20.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,7.8,142.0421143,76.0,15.95401573,0,24.0,0.013998688415728124,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,12,8.4,109.4155121,98.0,16.04876137,0,2.0,-2.4376891660881044,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,20,8.3,109.4155121,98.0,16.04876137,12,2.0,-1.6251261107254031,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,24,9.1,109.4155121,92.0,16.04876137,15,8.0,-19.37337056907815,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
