bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,tceq,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,sic_tha
rocas_igneas,6/26/2001,5,0.1,POINT (-117.079056 32.48768),7.0,32.48768,-117.079056,18,7.0,5.4,150.5167542,61.0,1.2662581886563982,VERTISOL CROMICO,0.0,16.92475128,0,4.929652818309805,12.068,0.8959200000000002,39.0,18,10.732103606324507
rocas_igneas,8/11/2003,5,0.2,POINT (-111.33978 30.389292),7.0,30.389292,-111.33978,28,4.0,8.0,155.0924683,70.0,0.3492241280764381,XEROSOL LUVICO,31.0,16.81706238,0,7.203346045080641,6.896,1.2062400000000002,30.0,28,12.536724017057177
rocas_igneas,8/18/2003,4,0.1,POINT (-105.38215 20.375334),12.0,20.375334,-105.38215,27,4.0,5.4,155.0924683,88.0,7.566558837890625,REGOSOL EUTRICO,0.0,16.81706238,9,12.031811595008032,6.896,1.2062400000000002,12.0,18,7.639973825877902
rocas_igneas,10/27/2003,2,0.1,POINT (-104.181816 19.281836),8.0,19.281836,-104.181816,16,10.0,5.6,113.9457397,82.0,0.9953377730441544,REGOSOL EUTRICO,0.0,15.17655277,0,12.76690783808301,17.24,0.5856000000000003,18.0,16,8.173391803202978
rocas_igneas,10/9/2003,2,0.2,POINT (-99.91448 18.417168),12.0,18.417168,-99.91448,10,11.0,6.5,113.9457397,84.0,12.80140209197998,REGOSOL EUTRICO,0.0,15.17655277,0,7.812280682667419,18.964,0.48216000000000014,16.0,10,4.88941538206496
rocas_igneas,11/1/2002,4,0.0,POINT (-98.09065 19.681948),2.0,19.681948,-98.09065,23,45.0,6.2,43.62361145,58.0,4.237656593322494,ANDOSOL HUMICO,0.0,13.86884212,0,1.006763299201873,77.58,-3.0347999999999997,42.0,23,-310.9395383554675
rocas_igneas,11/11/2002,5,0.2,POINT (-112.88117 31.671856),10.0,31.671856,-112.88117,20,4.0,7.8,43.62361145,76.0,0.8138591194040464,YERMOSOL CALCICO,5.0,13.86884212,0,15.025145729670289,6.896,1.2062400000000002,24.0,20,8.200005457203401
rocas_igneas,11/11/2003,5,1.2,POINT (-105.03136 29.34899),9.0,29.34899,-105.03136,29,3.0,10.0,22.05642509,88.0,1.0231452423639447,XEROSOL CALCICO,238.0,13.04871178,5,14.450932894128515,5.172,1.3096800000000002,12.0,24,8.06701695891968
rocas_igneas,11/13/2002,5,0.1,POINT (-112.46008 31.67186),7.0,31.67186,-112.46008,15,5.0,7.3,43.62361145,74.0,0.33709969940182144,LITOSOL,10.0,13.86884212,0,22.26156648931878,8.62,1.1028000000000002,26.0,15,6.429745835668445
rocas_igneas,11/13/2003,2,0.0,POINT (-99.69912 16.925968),8.0,16.925968,-99.69912,25,5.0,6.1,22.05642509,77.0,1.1330651475323572,REGOSOL EUTRICO,0.0,13.04871178,0,10.410134277319376,8.62,1.1028000000000002,23.0,25,12.349962989871528
rocas_igneas,11/14/2002,5,0.2,POINT (-112.71838 31.513245),7.0,31.513245,-112.71838,10,5.0,8.1,43.62361145,68.0,0.8138591194040464,YERMOSOL HAPLICO,32.0,13.86884212,0,14.99287200206551,8.62,1.1028000000000002,32.0,10,4.687293037806109
rocas_igneas,11/6/2002,4,0.0,POINT (-103.62335 21.80286),10.0,21.80286,-103.62335,11,10.0,5.7,43.62361145,70.0,11.18533706665039,FEOZEM HAPLICO,0.0,13.86884212,0,13.711037205301935,17.24,0.5856000000000003,30.0,11,5.558389827383274
rocas_igneas,3/4/2003,5,0.1,POINT (-103.01702 22.688375),10.0,22.688375,-103.01702,18,4.0,6.9,30.68841934,78.0,0.9360096450724633,REGOSOL EUTRICO,0.0,16.39164162,0,6.305422597543812,6.896,1.2062400000000002,22.0,18,8.137306587307592
rocas_igneas,5/19/2004,1,0.0,POINT (-92.32616 14.895821),8.0,14.895821,-92.32616,28,2.0,6.0,147.1418762,80.0,0.9143368881065529,FLUVISOL EUTRICO,0.0,16.67577553,10,1.3311041720560994,3.448,1.4131200000000002,20.0,18,5.019515642605827
rocas_igneas,5/30/2005,5,0.1,POINT (-111.98424 28.87752),17.0,28.87752,-111.98424,15,1.0,8.6,88.00628662,74.0,0.9396289046853781,REGOSOL EUTRICO,5.0,16.90192795,0,17.615219975566625,1.724,1.5165600000000001,26.0,15,1.8741219299078204
rocas_igneas,6/19/2003,2,0.0,POINT (-97.73808 18.153711),9.0,18.153711,-97.73808,9,10.0,5.9,211.8241882,73.0,0.3461495637893677,REGOSOL EUTRICO,0.0,16.66122246,0,20.90800006533408,17.24,0.5856000000000003,27.0,9,4.168464764556636
rocas_igneas,7/11/2003,5,0.1,POINT (-101.879776 21.130907),10.0,21.130907,-101.879776,20,5.0,5.7,145.8343353,87.0,0.32028982043266296,PLANOSOL MOLICO,0.0,16.0439949,0,15.017420130485368,8.62,1.1028000000000002,13.0,20,9.371878908010077
rocas_igneas,7/21/2004,5,0.1,POINT (-102.361626 23.330528),10.0,23.330528,-102.361626,10,13.0,8.3,165.5812531,85.0,0.7301245580745649,XEROSOL CALCICO,12.0,16.67821503,0,11.437102943016725,22.412,0.2752800000000002,15.0,10,3.1693472592400282
rocas_igneas,10/13/2003,4,0.0,POINT (-104.19221 20.577229),12.0,20.577229,-104.19221,18,2.0,6.3,113.9457397,81.0,1.2557318210601807,FEOZEM HAPLICO,0.0,15.17655277,0,8.142372921714587,3.448,1.4131200000000002,19.0,18,4.673010599167201
rocas_igneas,4/20/2004,5,2.5,POINT (-103.72085 23.068336),12.0,23.068336,-103.72085,13,8.0,6.0,83.12443542,71.0,1.0133476229601128,REGOSOL EUTRICO,0.0,16.3982811,0,12.669651707525672,13.792,0.7924800000000002,29.0,13,7.197585659141287
rocas_igneas,6/19/2003,5,0.0,POINT (-110.790504 29.13559),12.0,29.13559,-110.790504,20,3.0,6.9,211.8241882,60.0,0.7818626007613014,REGOSOL EUTRICO,0.0,16.66122246,10,7.557407918924115,5.172,1.3096800000000002,40.0,10,3.6321064199023048
rocas_igneas,10/24/2003,2,0.1,POINT (-104.45526 19.139357),4.0,19.139357,-104.45526,11,12.0,4.9,113.9457397,81.0,5.997195720672607,REGOSOL EUTRICO,0.0,15.17655277,0,14.306632422938705,20.688,0.37872000000000017,19.0,11,4.283900566279576
rocas_igneas,10/28/2003,2,0.0,POINT (-105.11353 19.715408),17.0,19.715408,-105.11353,21,11.0,6.1,113.9457397,61.0,2.667862892150879,REGOSOL EUTRICO,0.0,15.17655277,6,14.63628174190608,18.964,0.48216000000000014,39.0,15,6.791230115228224
rocas_igneas,10/31/2003,5,0.0,POINT (-106.38767 29.768652),9.0,29.768652,-106.38767,30,4.0,6.4,113.9457397,82.0,0.8933885331191994,XEROSOL HAPLICO,0.0,15.17655277,0,10.595830381540981,6.896,1.2062400000000002,18.0,30,12.9411462672684
rocas_igneas,11/14/2002,5,0.2,POINT (-112.71838 31.513245),7.0,31.513245,-112.71838,25,5.0,8.1,43.62361145,76.0,0.8138591194040464,YERMOSOL HAPLICO,37.0,13.86884212,10,14.99287200206551,8.62,1.1028000000000002,24.0,15,7.030939556709163
rocas_igneas,11/26/2002,5,0.2,POINT (-102.10282 22.75139),7.0,22.75139,-102.10282,18,13.0,7.5,43.62361145,76.0,2.6876949787139894,XEROSOL CALCICO,25.0,13.86884212,0,13.529776716235213,22.412,0.2752800000000002,24.0,18,5.570024397339821
rocas_igneas,11/6/2002,4,0.0,POINT (-103.62335 21.80286),10.0,21.80286,-103.62335,19,6.0,5.7,43.62361145,64.0,11.18533706665039,FEOZEM HAPLICO,0.0,13.86884212,11,13.711037205301935,10.344,0.9993600000000001,36.0,8,4.139219417208455
rocas_igneas,11/7/2002,5,0.1,POINT (-112.9212 31.836027),7.0,31.836027,-112.9212,10,2.0,8.8,43.62361145,72.0,0.8138591194040464,REGOSOL CALCARICO,20.0,13.86884212,0,12.916873423171175,3.448,1.4131200000000002,28.0,10,2.4611781565649675
rocas_igneas,12/3/2002,5,0.2,POINT (-114.769485 32.67868),7.0,32.67868,-114.769485,15,1.0,9.0,20.71763039,62.0,0.8304630793057955,REGOSOL EUTRICO,80.0,12.58985233,0,4.297546878733212,1.724,1.5165600000000001,38.0,15,2.1770776845838253
