profile_id,depth_category,date,longitude,latitude,clay,phaq,sand,silt,orgc,slopemean,bedrock,cfr,temperature,landcover,precipitation,ecoregion
1149115,0_30,2004-5-27,-92.92487241876384,15.375746884890615,12.5763974687432,5.88200000258531,42.1393793997183,45.2842231315385,11.8601770854182,0.1536994957141027,rocas_metamorficas,0.001939442578294,16.6757755279541,Tropical húmeda,147.14187622070312,Terrestre
1149116,0_30,2004-11-12,-93.80553111244994,15.933932966577258,9.14101233939782,6.18366526282069,86.4736475812708,4.38534007933143,7.99719249649038,0.1536994957141027,rocas_metamorficas,0.001939442578294,14.863654136657717,Inundable o Transición tierra-mar,85.93345642089844,Terrestre
1149118,0_30,1984-4-15,-92.34085842019569,14.761703209398638,21.4267167403979,6.28260697103693,49.8601143190598,28.7131689405423,15.6700574206595,0.1536994957141027,rocas_igneas,0.001939442578294,15.88495922088623,Tropical húmeda,77.32976531982422,Terrestre
1149120,0_30,1990-7-12,-104.97987623659073,19.94110915723029,9.8806704679145,4.93550452674195,72.6401915503342,17.4791379817513,2.01339566678006,2.4628665447235107,rocas_igneas,2.349695801737606,15.541918754577637,Templada subhúmeda,159.12200927734375,Terrestre
1149123,0_30,1990-7-7,-104.61654843746298,19.69568747966163,32.4775291389446,4.3094085005451,50.851699653409,16.6707712076464,9.25877183110543,0.4592507779598236,rocas_sedimentarias,0.221471873472535,15.541918754577637,Tropical subhúmeda,159.12200927734375,Terrestre
1149124,0_30,1990-7-3,-104.55818141764506,19.399077838240576,41.2365650360538,6.08050997918155,37.8637784000777,20.8996565638685,15.7550004906939,1.236985445022583,rocas_igneas,1.887134850032442,15.541918754577637,Tropical subhúmeda,159.12200927734375,Terrestre
1149131,0_30,2002-11-22,-102.19395560775614,19.532052351148863,6.82934836799607,6.59994979039866,80.2467969400257,12.9238546919782,5.86276907290889,2.20912766456604,rocas_igneas,0.025839140638709,13.868842124938965,Templada subhúmeda,43.62361145019531,Terrestre
1149132,0_30,2002-11-26,-102.67167805656972,19.79016003338387,50.4795525525416,6.40464078773291,31.3257971560388,18.1946502914196,15.6419733975826,3.727969467639923,rocas_igneas,3.024834517979561,13.868842124938965,Templada subhúmeda,43.62361145019531,Terrestre
1149142,0_30,2003-9-22,-101.79977104737476,19.481881809920377,10.1837886635721,5.53191474658748,69.8063975661247,20.0098137703032,38.2775099590776,13.920520782470703,rocas_igneas,3.837451513149275,15.96284294128418,Templada subhúmeda,135.75685119628906,Terrestre
1149148,0_30,2002-11-21,-98.73066603829012,19.13862901902539,38.0245043646571,5.73771266094056,40.4276881819755,21.5478074533674,62.1223879794144,6.958875179290772,rocas_igneas,12.143030735615223,13.868842124938965,Templada subhúmeda,43.62361145019531,Terrestre
1149152,0_30,1982-6-16,-97.51253865148549,19.14390314527535,3.93210084365484,5.63224629597076,90.8468922838995,5.22100687244566,1.76254927641981,0.9224597958319964,rocas_sedimentarias,0.023103239428666,16.81635093688965,Árida y semiárida,114.99480438232422,Terrestre
1149160,0_30,2003-5-27,-101.53667017999288,18.06091757589795,51.0118148002431,6.79672343943415,34.0077870165339,14.980398183223,14.0203628708009,1.12681695073843,rocas_igneas,4.545721656130142,16.423494338989258,Templada subhúmeda,179.60772705078125,Terrestre
1149174,0_30,2003-10-12,-99.24144330680642,18.46815363825209,21.68523413462,5.45188171261695,64.8094694452148,13.5052964201651,26.8114467211864,6.700323104858398,rocas_igneas,12.65136856744212,15.176552772521973,Tropical subhúmeda,113.94573974609376,Terrestre
1149179,0_30,2003-6-19,-97.194724743642,18.94619200080089,14.1544503588517,5.13699239613233,33.5409055842249,52.3046440569235,65.1941151341165,10.2749662399292,rocas_sedimentarias,12.1174681879229,16.661222457885742,Templada subhúmeda,211.82418823242188,Terrestre
1149188,0_30,2005-4-14,-101.13346505890688,17.786619229317413,43.2130547425689,5.24881704312067,37.3698076068526,19.4171376505784,27.9350001688246,9.864267826080322,rocas_igneas,4.915836263810172,16.085426330566406,Tropical subhúmeda,83.41119384765625,Terrestre
1149206,0_30,2003-10-28,-98.68005313382706,16.86132395310058,40.1934423606677,3.5626754266828,32.1728050776711,27.6337525616612,22.6534883390196,9.575028419494627,rocas_sedimentarias,1.8237264752388,15.176552772521973,Templada subhúmeda,113.94573974609376,Terrestre
1149220,0_30,2004-4-28,-95.23715395251068,18.198014309818685,44.9276128344248,6.78407329568628,11.0283306880584,44.0440564775168,17.9810030294964,0.1982427660114302,rocas_sedimentarias,0.00331806065015,16.39828109741211,Tropical húmeda,83.12443542480469,Terrestre
1149221,0_30,2004-6-15,-95.72368771786924,18.20765648961001,31.3898385040806,6.01461158439812,28.6336938708219,39.9764676250975,10.1291837436454,0.1982427660114302,rocas_sedimentarias,1.162507585940295,16.932231903076172,Tropical húmeda,175.63909912109375,Terrestre
1149222,0_30,1983-4-21,-90.19467983189116,19.64827428705496,39.9626436781609,7.63208812260536,42.6791187739464,17.3582375478927,44.47030651341,0.9157801163330508,rocas_sedimentarias,11.900328833201897,14.968445777893066,Tropical subhúmeda,55.14191055297852,Terrestre
1149224,0_30,1983-4-28,-90.68138091699988,19.38338118694648,67.3389889108366,7.34592402872753,24.8143428770311,7.84666821213228,15.2452842775806,0.1533177342065942,rocas_sedimentarias,0.095366195324319,14.968445777893066,Tropical subhúmeda,55.14191055297852,Terrestre
1149227,0_30,2003-10-10,-90.86742726222418,19.08556534386457,48.5072529948048,7.73507604616285,30.5622574786722,20.9674819279147,17.6398508549297,0.1533177342065942,rocas_sedimentarias,0.00331806065015,15.176552772521973,Tropical húmeda,113.94573974609376,Terrestre
